Match_no,Match_Between_bat,Team_Innings,Batsman_Name,Batting_Position,Dismissal,Runs_bat,Balls,4s,6s,Strike_Rate,Match_Between_bowl,Bowling_Team,Bowler_Name,Overs,Maidens,Runs_bowl,Wickets,Economy
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,New Zealand,Trent Boult,10.0,1,48,1,4.8
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,New Zealand,Matt Henry,10.0,1,48,3,4.8
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,New Zealand,Mitchell Santner,10.0,0,37,2,3.7
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,New Zealand,Jimmy Neesham,7.0,0,56,0,8.0
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,New Zealand,Rachin Ravindra,10.0,0,76,1,7.6
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,New Zealand,Glenn Phillips,3.0,0,17,2,5.67
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,England,Chris Woakes,6.0,0,45,0,7.5
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,England,Sam Curran,6.0,2,47,1,7.833
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,England,Mark Wood,5.0,0,55,0,11.0
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.429
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,England,Adil Rashid,7.0,0,47,0,6.714
1,England vs New Zealand,England,Jonny Bairstow,1,c Daryl Mitchell b Mitchell Santner,33,35,4,1,94.300,England vs New Zealand,England,Liam Livingstone,3.0,0,24,0,8.0
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,New Zealand,Trent Boult,10.0,1,48,1,4.8
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,New Zealand,Matt Henry,10.0,1,48,3,4.8
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,New Zealand,Mitchell Santner,10.0,0,37,2,3.7
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,New Zealand,Jimmy Neesham,7.0,0,56,0,8.0
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,New Zealand,Rachin Ravindra,10.0,0,76,1,7.6
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,New Zealand,Glenn Phillips,3.0,0,17,2,5.67
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,England,Chris Woakes,6.0,0,45,0,7.5
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,England,Sam Curran,6.0,2,47,1,7.833
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,England,Mark Wood,5.0,0,55,0,11.0
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.429
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,England,Adil Rashid,7.0,0,47,0,6.714
1,England vs New Zealand,England,Dawid Malan,2,c Tom Latham b Matt Henry,14,24,2,0,58.300,England vs New Zealand,England,Liam Livingstone,3.0,0,24,0,8.0
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,New Zealand,Trent Boult,10.0,1,48,1,4.8
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,New Zealand,Matt Henry,10.0,1,48,3,4.8
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,New Zealand,Mitchell Santner,10.0,0,37,2,3.7
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,New Zealand,Jimmy Neesham,7.0,0,56,0,8.0
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,New Zealand,Rachin Ravindra,10.0,0,76,1,7.6
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,New Zealand,Glenn Phillips,3.0,0,17,2,5.67
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,England,Chris Woakes,6.0,0,45,0,7.5
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,England,Sam Curran,6.0,2,47,1,7.833
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,England,Mark Wood,5.0,0,55,0,11.0
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.429
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,England,Adil Rashid,7.0,0,47,0,6.714
1,England vs New Zealand,England,Joe Root,3,b Glenn Phillips,77,86,4,1,89.500,England vs New Zealand,England,Liam Livingstone,3.0,0,24,0,8.0
